country,population,Green,Blue,Grey,Green,Blue,Grey,Blue,Grey,Blue,Grey,blue,grey
Saint Lucia,158,56.4,0.1,0.0,1145.2,110.7,122.8,0.0,0.0,4.4,40.1,7.9,71.4
Saint Vincent/Grenadines,108,878.8,0.0,0.0,594.5,94.1,92.5,0.0,0.0,2.8,26.7,0.0,0.0
Samoa,176,1811.4,0.0,0.5,168.3,63.2,24.9,0.0,0.0,1.2,13.1,0.0,0.0
Sao Tome and Principe,142,1459.9,0.7,0.0,155.8,59.0,48.0,0.0,0.0,0.4,3.9,0.0,0.0
Saudi Arabia,21114,126.3,332.4,52.8,1004.9,101.8,89.7,0.8,14.3,2.3,23.0,10.1,90.8
Senegal,10055,757.9,32.0,4.9,264.7,53.5,19.9,0.3,3.6,0.4,5.0,1.0,7.9
Serbia and Montenegro,10730,1224.5,10.8,98.4,107.5,25.7,10.7,40.4,764.3,2.2,32.6,7.3,65.4
Seychelles,80.6,657.7,39.0,0.2,1010.5,146.8,91.1,2.0,37.1,8.3,99.9,9.9,89.3
Sierra Leone,4408,1132.2,11.0,0.0,248.5,22.8,15.4,0.1,1.5,0.1,1.5,0.5,4.1
Slovakia,5377,704.2,11.0,75.7,310.0,44.4,32.8,2.8,17.0,7.2,73.6,8.0,48.7
Slovenia,1987,373.8,0.5,205.2,971.8,65.8,93.6,9.4,79.1,11.5,124.2,10.1,67.5
Solomon Islands,422,530.2,0.0,0.0,138.8,21.5,26.0,0.0,0.0,0.4,5.8,0.0,0.0
South Africa,45184,786.8,76.7,49.9,240.5,10.7,12.5,0.5,4.1,1.1,11.6,8.6,52.4
Spain,40841,1004.9,214.5,142.2,797.3,79.3,68.1,6.0,0.0,9.7,102.7,11.7,25.0
Sri Lanka,18884,771.5,105.6,54.9,207.7,53.8,26.7,0.5,9.2,0.6,9.2,1.6,14.3
Sudan,35225,1428.1,196.3,10.2,56.4,4.6,4.4,0.3,5.0,0.2,2.3,2.8,25.3
Suriname,471,749.1,114.7,79.1,260.3,17.0,27.8,1.0,18.9,1.4,13.8,6.4,57.3
Swaziland,1073,491.4,46.4,0.0,655.7,146.0,21.5,0.5,8.6,0.4,4.8,2.2,20.1
Sweden,8912,535.5,1.5,85.7,502.7,50.9,53.5,4.4,13.3,11.0,126.6,12.2,30.5
Switzerland,7233,183.6,0.1,45.2,851.4,78.8,82.6,6.9,4.4,20.1,224.6,8.6,22.3
Syria,16860,1187.6,338.9,148.7,270.8,38.1,17.4,1.0,15.5,0.6,7.9,8.5,72.2
Tajikistan,6201,647.8,447.7,47.8,1069.1,14.8,9.2,3.8,66.0,0.6,9.4,7.1,63.9
Tanzania,34719,913.4,23.0,4.3,52.9,9.9,5.0,0.0,0.6,0.1,1.7,1.5,13.7
Thailand,62969,939.0,134.5,64.3,148.8,23.5,10.9,1.2,20.3,1.7,19.8,4.3,39.1
Togo,5304,845.6,1.1,5.1,94.5,15.0,8.9,0.0,0.4,0.2,2.4,1.7,15.1
Trinidad and Tobago,1297,83.4,0.1,0.4,1224.9,89.0,108.5,1.3,16.9,3.4,30.1,16.2,141.7
Tunisia,9483,1299.7,126.7,42.3,504.7,135.5,57.8,0.3,3.2,1.8,17.9,3.8,23.2
Turkey,66849,933.8,167.9,103.3,216.0,71.2,17.4,2.4,24.6,3.0,39.5,8.3,54.4
Turkmenistan,4545,1239.2,719.3,0.1,185.2,9.4,11.6,0.8,7.4,0.9,7.3,9.2,83.2
Uganda,24962,1019.2,0.4,1.1,35.9,9.8,3.4,0.1,1.9,0.1,1.8,0.5,4.7
UK,59334,243.5,0.9,53.3,672.0,71.9,61.0,4.1,2.0,12.2,129.6,3.5,4.1
Ukraine,48738,1117.6,28.2,62.0,55.9,7.7,4.4,8.8,159.7,2.0,34.8,9.4,84.2
United Arab Emirates,3330,412.7,140.1,12.3,1508.5,386.2,185.3,0.6,9.7,25.1,270.2,18.5,166.8
Uruguay,3307,1567.4,53.4,39.1,388.7,4.0,11.9,0.5,9.7,2.5,31.0,2.4,21.8
USA,288958,1600.4,136.5,223.5,367.9,37.5,31.7,30.9,164.7,11.3,127.0,22.6,88.4
Uzbekistan,24896,509.9,346.7,0.0,255.6,3.1,5.8,1.9,35.5,0.5,8.1,11.1,100.1
Vanuatu,194,1264.0,0.0,0.0,45.5,73.9,33.5,0.0,0.0,1.1,13.2,0.0,0.0
Venezuela,24640,874.6,48.5,33.2,527.0,22.2,28.7,0.7,12.2,0.9,7.9,15.5,139.2
Viet Nam,79188,637.7,68.0,94.2,52.4,6.4,4.2,6.1,113.8,0.4,5.4,7.0,63.0
Yemen,18502,71.4,126.2,5.1,551.2,90.2,38.4,0.1,1.8,0.2,2.0,1.5,13.1
Zambia,10574,754.0,27.8,16.0,76.2,7.9,4.9,0.3,5.1,0.1,1.5,2.7,24.7
Zimbabwe,12357,958.7,57.7,34.5,81.1,6.6,5.5,0.8,15.3,0.2,2.2,4.8,42.9
